No,Gejala,Diagnosis
55,"Nyeri abdomen bawah, serviks, uterus dan limfonodus, menggigil, panas, pendarahan vagina, pengeluaran secret vagina, disuria",Salpingitis
56,"disuria, piuria, sering kencing",Sindrom Uretra
57,"nyeri tekan pada meatus uretra, pruritis dan sekret uretra, eritema, disuria",Uretritis
58,"Nyeri punggung bawah, ejakulasi yang nyeri, nokturia, disuria",Prostatitis
59,"pembengkakan skrotum yang nyeri dan kemerahan, sekret uretra, rasa nyeri pada testis dan skrotum, daerah paha dan pangkal paha",Epididimis
60,"Nyeri, fotofobia, rasa gatal dan panas seperti terbakar",Konjungtivitis
61,"Diare, pruritis, ulserasi difus/diskrit pada kolon rektosigmoid",Proktitis
62,"uretritis yang meliputi disuria, pembengkakan pada tempat infeksi, asimptomatik",Gonore (L)
63,"Malaise,menggigil, nyeri punggung",Listeriosis
64,"demam, menggigil,sakit kepala,kaku kuduk,muntah,letargi,brakikar di, ruam kadang terjadi",Meningitis
65,"nyeri telinga, drainase telinga, vertigo, tinitus",Otitis media
66,"malaise dan demam, nyeri pada kelenjar limfe regional, daerah hemorragik mengalami nekrosis",Plague (Penyakit Pesbubo)
67,"demam tinggi, takikardia, takipnea, batuk produktif",Primary pneumonic plague (penyakit pes paru)
68,"suhu tubuh tinggi, batuk disertai sputum yang purulent berwarna kuning atau berdarah, dipnea, ronki disertai penurunan bunyi napas",
69,"nyeri abdomen, diare hebat, demam",Pneumonia
70,"demam tinggi, sakit kepala, konstipasi",Salmonelosis
71,"diare disertai tenesmus, mual, muntah, nyeri disertai distensi abdomen, feses mengandung pus, mukusm dan darah, dehidrasi, penurunan berat badan",Infeksi Tifoid
72,"muncul luka atau tukak, luka tidak menimbulkan rasa sakit,luka berkembang pada bagian tubuh seperti pada penis, vagina, anus serta dapat muncul di mulut atau bibir, amandel, atau jari",Shigolisis Anak
73,"spasme dan peningkatan tonus otot dekat luka, sulitnya mengunyah dan menelan makanan akibat dari kejang otot, kejang otot pada daerah yang terkena luka",Sifilis Primer
74,"Demam, keringat malam, batuk, nyeri dada pleuritic, obstruksi saluran pernapasan",Tuberkulosis
75,"nyeri saat berkemih, rasa ingin kencing tapi tidak bisa, urin lebih berbau, nyeri disuprapubic",infeksi Saluran Kemih (Sistitis)
76,"demam tidak tinggi, bersin-bersin, infeksi konjungtiva, anorexia",Batuk Rejan (Pertusis)
77,"ruam yang gatal terdri dari macula-makula kecil, lesi dan demam lebih dari tujuh hari, pembentukan parut pada ekstremitas",
78,"tenggorok yang nyeri, merah dan bengkak, peningkatan salivasi, nyeri hebat pada mulut, pembentukan vesikel pada lidah, gingiva, dan mukosa pipi, warna lesi merah",Herpes Simpleks Tipe 1
79,"vesikel yang terlokasilisasi berisi cairan dan ditemukan pada serviks, lania, vulva, kulit perianal, vagina atau batang penis, parastesis di daerah yang terkena, disuria",Herpes Simpleks Tipe 2
80,"nyeri pada dermatom saraf, priritis, perestesia pada batang tubuh atau lengan, lesi kulit kecil-kecil berwarna merah",Herpes Zoster
81,"penurunan berat badan cepat, batuk kering, demam kambuhan, mudah letih tidak jelas penyebabnya, pembengkakan nodus  imfe pada daerah aksila, lipat paha atau leher, diare yang berlangsung lebih dari satu minggu",Infeksi HIV
82,"nyeri tenggorokan, limfadenopati serviks, suhu tubuh berfluktuasi dan mencapai puncak pada malam hari, hepatomegaly, stomatitis",Mononukleosis Infeksioma
83,"Mialgia, nyeri telinga ketika mengunyah, pembengkakan pada kelenar parotis, pembengkakan pada kelenjar ludah",Gondongan
84,"kongesti nasal, batuk, bersin- bersin, malaise,nyeri tenggorokan, nyeri telinga, dyspnea, demam",Infeksi Virus Syncitial Respiratorius (Penyakit ringan)
85,"pernapasan cuping hidung, retraksi pernapasan, sianosis, takipnea","Infeksi Virus Syncitial Respiratorius (Bronkitis, Pneumonia, Bronkitis)"
86,"makula kecil-kecil berwarna merah pada palatum mole, ruam makulopapuler agak gatal dimulai di wajah dan menyebar ke seluruh badan, nyeri tenggoroka, batuk",Rubela (campak jerman)
87,"sakit kepala, nyeri punggung,serangan kejang pada anak, muntah pada anak, nyeri tenggorokan dan batuk",Cacar
88,"Anemia,ulkus pada orofaring, penyakit pernapasan ringan serupa dengan salesma berat atau influenza",Histoplasmosis primer akut
89,"Demam, menggigil, sakit kepala, mialgia",Malaria (bentuk benigma)
90,"ruam disertai pruritus yang timbul sepintas pada tempat penetrasi serkaria, demam, myalgia, batuk",Skistosomiasis
91,"Korioretinitis, bercak seperti kapas yang menonjol dan berwarna putih-kuning, gangguan penglihatan",Taksoplasmosis okuler
92,"Malaise, sakit kepala, nyeri tenggorokan, ruam makulopapuler",Taksoplasmosis Akuisita
93,"hidrosefalus/mikrosefalus, serangan kejang, ikterus, purpura, ruam",Kongenital
94,"Asimptomatik, inflamasi dan rabas berwarna kuning kehijuauan",Gonore (Perempuan)
95,"Malaise, panas, sakit kepala, mialgia, menggigil",Antrax inhalasi
96,"kenaikan cairan gingival, gusi merah dan bengkak, berdarah ketika gosok gigi atau pemeriksaan pada gigi, konsistensi lunak",Gingivitis
97,"Mata merah dan benjolan pada kelopak kanan disertai nyeri dan merah, terdapat secret mukopurulen, gatal, berair.",Conjunctivitis
98,"telinga mengeluarkan nanah, daun telinga membengkak, merah, panas, terasa nyeri, jika ditekan terasa sakit, pembengkakan daun telinga menjalar ke bagian belakang daun telinga sehingga sangat menonjol",Perikondritis
99,"inflamasi eksudatif dan gatal,nyeri telinga, gatal, telinga terasa penuh, suara berdengung, telinga tersumbat, dengan tanda khas terdapat hifa dan spora, sekret.",Otomikosis
100,"demam, muntah, sakit perut, dehidrasi",Diare virus
